,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Temp,Wind Speed
33,Pisco,53,PE,1588217178,73,-13.7,-76.22,69.03,5.82
34,Río Gallegos,90,AR,1588217178,100,-51.62,-69.22,42.8,9.17
35,George Town,20,MY,1588217111,79,5.41,100.34,84.42,4.7
36,Hithadhoo,98,MV,1588217178,71,-0.6,73.08,84.33,5.12
37,Kaitangata,100,NZ,1588217178,47,-46.28,169.85,63.0,11.99
38,Barrow,1,US,1588216826,77,71.29,-156.79,3.2,12.75
39,Delmas,0,ZA,1588217178,93,-26.15,28.68,43.75,2.24
40,Victoria Point,99,AU,1588217179,68,-27.58,153.3,81.0,9.53
41,Verkh-Usugli,99,RU,1588217179,32,52.7,115.17,56.43,12.12
42,San Quintín,69,MX,1588217179,79,30.48,-115.95,65.1,9.35
43,Albany,100,US,1588217179,42,42.6,-73.97,51.24,14.74
44,Alofi,90,NU,1588217179,88,-19.06,-169.92,75.2,14.99
45,Longyearbyen,90,SJ,1588216964,94,78.22,15.64,32.0,19.46
46,San Patricio,30,MX,1588217180,81,19.22,-104.7,71.37,5.46
47,Williamsport,90,US,1588217180,71,41.24,-77.0,53.42,14.99
48,Arrondissement de Dole,100,FR,1588217180,87,47.08,5.5,51.94,16.11
49,Hilo,1,US,1588217180,57,19.73,-155.09,75.79,12.75
50,Jamestown,90,US,1588216897,87,42.1,-79.24,58.14,14.99
51,Makakilo City,75,US,1588217181,61,21.35,-158.09,79.21,11.41
52,Bagdarin,100,RU,1588217078,52,54.43,113.6,49.75,8.01
53,Nanortalik,0,GL,1588217181,89,60.14,-45.24,34.34,9.24
54,Batagay,100,RU,1588217098,92,67.63,134.63,24.46,8.39
55,Sakakah,0,SA,1588217181,59,29.97,40.21,62.6,5.61
56,Saint Anthony,1,US,1588217181,41,45.02,-93.22,56.07,8.05
57,Port Elizabeth,32,ZA,1588217181,100,-33.92,25.57,46.4,3.36
58,Hambantota,100,LK,1588217181,76,6.12,81.12,83.52,4.03
59,San Andrés,40,CO,1588216984,74,12.58,-81.7,82.4,10.29
60,Wasilla,1,US,1588217049,23,61.58,-149.44,53.08,5.82
61,Kapaa,75,US,1588217047,74,22.08,-159.32,77.2,24.16
62,Qaanaaq,100,GL,1588217182,92,77.48,-69.36,14.85,14.9
63,Esperance,90,AU,1588217182,58,-33.87,121.9,59.0,10.29
64,Lompoc,90,US,1588217110,87,34.64,-120.46,54.18,6.93
65,Sabha,9,LY,1588217182,15,27.04,14.43,79.5,8.37
66,Karasjok,88,NO,1588217070,79,69.47,25.51,23.0,12.75
67,Mvuma,80,ZW,1588217182,50,-19.28,30.53,58.84,5.53
68,Carnarvon,91,AU,1588217051,15,-24.87,113.63,86.0,16.11
69,Reutlingen,100,DE,1588217183,70,48.49,9.2,49.24,15.01
70,Torbay,90,CA,1588217044,92,47.67,-52.73,31.19,16.11
71,Katsuura,20,JP,1588217183,60,35.13,140.3,71.51,4.7
72,Phuket,40,TH,1588217183,74,8.0,98.25,86.0,6.93
73,Røyken,96,NO,1588217183,72,59.75,10.39,36.21,3.0
74,Upernavik,100,GL,1588217183,82,72.79,-56.15,21.96,7.34
75,Tabou,57,CI,1588217183,86,4.42,-7.35,79.21,1.83
76,Dunedin,100,NZ,1588217039,51,-45.87,170.5,61.0,5.99
77,Magistral'nyy,92,RU,1588217184,48,56.17,107.45,65.07,17.25
78,Shache,94,CN,1588217184,11,38.42,77.24,73.6,15.14
79,Raja,78,SS,1588217184,52,8.46,25.68,77.32,7.23
80,Butaritari,74,KI,1588217184,80,3.07,172.79,82.96,14.81
81,Bikaner,94,IN,1588217184,16,28.02,73.3,94.41,12.1
82,Lata,100,PT,1588217184,93,40.16,-8.33,55.49,1.99
83,Saint Paul Harbor,1,US,1588217045,50,57.79,-152.41,51.8,10.29
84,Tiksi,100,RU,1588217043,96,71.69,128.87,17.02,10.58
85,Bonfim,99,BR,1588217185,49,3.08,-59.95,85.24,7.67
86,Yumen,0,CN,1588217185,7,40.28,97.2,78.37,6.17
87,Castro,100,BR,1588217185,57,-24.79,-50.01,59.5,3.18
88,Airai,80,TL,1588217185,38,-8.93,125.41,75.15,3.85
89,Port Lincoln,5,AU,1588217185,55,-34.73,135.87,57.63,21.74
90,Gimli,7,CA,1588217185,40,50.63,-96.99,48.4,6.78
91,Chernyshevskiy,99,RU,1588217186,75,63.01,112.47,32.81,5.79
92,Masunga,0,BW,1588217186,51,-20.62,27.45,56.7,2.37
93,Goulburn,100,AU,1588217186,93,-34.75,149.72,46.72,12.97
94,Lincoln,1,US,1588217151,51,40.8,-96.67,58.3,12.75
95,Bengkulu,68,ID,1588217186,59,-3.8,102.27,87.04,1.48
96,Port Alfred,0,ZA,1588217186,84,-33.59,26.89,57.99,4.0
97,Wagga Wagga,75,AU,1588217187,93,-35.12,147.37,50.56,12.75
98,Berlevåg,75,NO,1588217187,74,70.86,29.09,28.4,5.82
99,Zyryanka,96,RU,1588217187,95,65.75,150.85,32.77,11.27
100,Bluff,100,NZ,1588217187,62,-46.6,168.33,62.01,11.01
101,Shahrud,99,IR,1588217187,44,36.42,54.98,53.98,5.91
102,Yar-Sale,100,RU,1588217187,93,66.83,70.83,17.42,18.23
103,Bambous Virieux,75,MU,1588217187,78,-20.34,57.76,75.11,12.75
104,Jesús del Monte,75,MX,1588217187,71,19.11,-99.99,55.4,9.17
105,Palekastro,88,GR,1588217188,87,35.2,26.25,61.0,3.0
106,Vakhrushevo,40,RU,1588217188,48,55.23,61.72,44.6,15.66
107,Sechura,15,PE,1588217188,69,-5.56,-80.82,72.88,14.18
108,Tilichiki,100,RU,1588217188,96,60.47,166.1,29.28,5.39
109,Mossamedes,0,AO,1588217188,68,-15.2,12.15,74.19,7.36
110,Puerto Ayora,4,EC,1588217188,87,-0.74,-90.35,78.01,4.0
111,Lebu,40,CL,1588217189,84,-37.62,-73.65,51.42,3.65
112,Tuktoyaktuk,40,CA,1588217189,71,69.45,-133.04,3.2,2.24
113,Cherskiy,98,RU,1588217189,96,68.75,161.3,27.57,5.7
114,Chimbote,26,PE,1588217189,79,-9.09,-78.58,69.13,5.75
115,Bredasdorp,0,ZA,1588217189,81,-34.53,20.04,48.2,2.24
116,Acapulco de Juárez,5,MX,1588216952,78,16.86,-99.89,78.8,4.7
117,Lagos,20,NG,1588217026,94,6.58,3.75,78.8,4.7
118,Nikolskoye,0,RU,1588217190,69,59.7,30.79,32.38,4.47
119,Mandurah,0,AU,1588217190,46,-32.55,115.7,64.0,1.99
120,Corinth,1,GR,1588217190,63,37.94,22.96,62.01,17.0
121,Banda Aceh,98,ID,1588217104,73,5.56,95.32,83.44,5.48
122,Amahai,76,ID,1588217190,59,-3.33,128.92,83.52,5.44
123,Tsimmerbude,84,RU,1588217190,83,54.67,20.13,33.8,4.47
124,Provideniya,90,RU,1588217057,79,64.38,-173.3,24.8,6.71
125,Constitución,0,CL,1588217191,81,-35.33,-72.42,53.28,10.45
126,Atuona,57,PF,1588217045,79,-9.8,-139.03,82.11,18.43
127,Anadyr,75,RU,1588217191,74,64.75,177.48,30.09,8.95
128,Hasaki,75,JP,1588217191,64,35.73,140.83,71.6,6.93
129,Prince Rupert,1,CA,1588217191,74,54.32,-130.32,46.4,9.17
130,Saint-Philippe,75,RE,1588217191,72,-21.36,55.77,65.43,6.93
131,Vardø,75,NO,1588217191,79,70.37,31.11,28.4,11.41
132,Arraial do Cabo,0,BR,1588217191,85,-22.97,-42.03,73.49,21.3
133,Pringsewu,72,ID,1588217192,71,-5.36,104.97,85.05,2.33
134,Luocheng,50,CN,1588217192,42,29.38,104.03,77.95,6.93
135,Trelew,100,AR,1588217095,65,-43.25,-65.31,56.23,11.43
136,El Salvador,75,SV,1588216944,79,13.83,-88.92,79.3,3.36
137,Steamboat Springs,1,US,1588217192,33,40.48,-106.83,50.88,4.7
138,Barabai,17,ID,1588217192,63,-2.58,115.38,89.44,2.01
139,Tarko-Sale,100,RU,1588217073,89,64.92,77.78,25.61,23.87
140,Ambilobe,58,MG,1588217192,83,-13.2,49.05,69.46,4.72
141,Kysyl-Syr,50,RU,1588217193,72,63.9,122.76,38.16,1.28
142,New Norfolk,98,AU,1588217061,75,-42.78,147.06,56.93,3.0
143,Margate,100,GB,1588217078,92,51.38,1.39,45.34,1.99
144,Havre-St-Pierre,1,CA,1588217193,78,50.23,-63.6,32.0,9.6
145,Auchi,100,NG,1588217193,90,7.07,6.27,75.7,5.21
146,Tosagua,20,EC,1588217193,78,-0.78,-80.25,77.0,2.24
147,Luanda,40,AO,1588217193,94,-8.84,13.23,77.0,3.36
148,Castiglione delle Stiviere,40,IT,1588217193,87,45.39,10.49,54.43,5.82
149,Pochutla,3,MX,1588217194,64,15.74,-96.47,81.0,5.75
150,Chumikan,100,RU,1588217194,95,54.72,135.31,33.55,6.87
151,Lake Havasu City,1,US,1588217194,11,34.48,-114.32,94.41,8.05
152,Sabang,82,ID,1588217194,75,5.89,95.32,83.43,7.72
153,Vaini,75,TO,1588217043,78,-21.2,-175.2,77.0,13.87
154,Mehamn,75,NO,1588217194,74,71.04,27.85,28.4,5.82
155,Alekseyevka,36,RU,1588217194,66,50.63,38.69,46.47,9.82
156,Norman Wells,90,CA,1588217195,85,65.28,-126.83,19.4,12.75
157,Peterhead,100,GB,1588217195,100,57.51,-1.8,44.19,12.75
158,Nioro,5,GM,1588217092,48,13.35,-15.75,75.99,5.82
159,Kruisfontein,67,ZA,1588217195,42,-34.0,24.73,55.13,5.3
160,Erdenet,8,MN,1588217195,21,49.03,104.08,73.36,15.5
161,Los Llanos de Aridane,0,ES,1588217050,68,28.66,-17.92,64.4,8.05
162,Launceston,40,AU,1588217002,87,-41.45,147.17,54.97,11.41
163,Henties Bay,0,NA,1588217195,72,-22.12,14.28,63.64,4.5
164,Bārmer,0,IN,1588217196,19,25.75,71.38,94.01,11.77
165,Guerrero Negro,33,MX,1588217196,73,27.98,-114.06,64.08,11.88
166,Mission,1,US,1588216996,57,26.22,-98.33,78.06,5.82
167,Tura,0,IN,1588217196,52,25.52,90.22,81.55,2.51
168,Ahipara,80,NZ,1588217054,63,-35.17,173.17,65.23,7.34
169,Fairfield,90,US,1588217135,70,41.27,-73.32,46.08,13.87
170,Sioux Lookout,5,CA,1588217196,64,50.1,-91.92,35.6,2.24
171,Chui,0,UY,1588217196,70,-33.7,-53.46,56.48,12.71
172,Laas,68,IT,1588217075,92,46.62,10.7,33.98,1.12
173,Te Anau,100,NZ,1588217197,72,-45.42,167.72,54.43,7.74
174,Mersing,40,MY,1588217197,94,2.43,103.84,80.6,2.24
175,Susanville,1,US,1588217197,37,40.42,-120.65,67.15,10.29
176,Orocué,90,CO,1588217197,66,4.79,-71.34,83.57,2.06
177,Porto Murtinho,60,BR,1588217197,64,-21.7,-57.88,79.09,1.86
178,Ribeira Grande,100,PT,1588217197,92,38.52,-28.7,64.13,20.15
179,Ixtapa,0,MX,1588217198,52,20.7,-105.2,69.71,2.37
180,Westport,90,US,1588217198,81,41.14,-73.36,46.8,10.29
181,Gérardmer,75,FR,1588217198,82,48.07,6.88,53.44,12.75
182,Ponta do Sol,20,PT,1588217198,82,32.67,-17.1,58.08,3.36
183,Thap Than,84,TH,1588217198,45,15.46,99.89,91.29,5.26
184,Husavik,75,IS,1588217198,74,66.04,-17.34,33.8,10.29
185,Kerrville,1,US,1588217198,48,30.05,-99.14,63.52,6.4
186,Tevaitoa,82,PF,1588217199,69,-16.78,-151.5,82.94,0.38
187,Ust'-Kulom,100,RU,1588217199,93,61.69,53.69,35.49,4.72
188,Buarcos,75,PT,1588217199,72,40.17,-8.88,58.39,8.05
189,Alice Springs,0,AU,1588217199,29,-23.7,133.88,60.8,16.11
190,Tual,100,ID,1588217199,76,-5.67,132.75,83.08,13.91
191,Hamilton,75,US,1588217125,87,39.18,-84.53,52.32,9.17
192,Pouébo,11,NC,1588217200,63,-20.4,164.57,81.72,10.83
193,Melfi,20,IT,1588217200,87,41.0,15.65,55.4,10.29
194,Kita,34,ML,1588217200,31,13.03,-9.49,86.67,0.89
195,Pavlogradka,100,RU,1588217200,66,54.2,73.56,53.28,13.49
196,Broome,90,US,1588217200,76,42.25,-75.83,49.93,23.04
197,Karratha,26,AU,1588217200,18,-20.74,116.85,83.28,25.72
198,Hirara,40,JP,1588217201,61,24.8,125.28,79.54,14.99
199,Ntcheu,0,MW,1588217201,64,-14.82,34.64,61.61,2.08
200,Jieshi,1,CN,1588217201,61,22.81,115.83,75.9,7.9
201,Leningradskiy,0,RU,1588217201,92,69.38,178.42,29.03,2.84
202,Hermanus,7,ZA,1588217201,58,-34.42,19.23,62.22,5.68
203,São Filipe,29,CV,1588217201,63,14.9,-24.5,76.35,9.78
204,Rongcheng,71,CN,1588217201,76,30.63,117.85,75.99,8.01
205,Kenai,20,US,1588217201,27,60.55,-151.26,51.51,10.29
206,Buala,87,SB,1588217202,75,-8.14,159.59,85.98,6.11
207,Rabo de Peixe,75,PT,1588217202,93,37.8,-25.58,62.6,17.22
208,Bonthe,100,SL,1588217202,86,7.53,-12.51,79.43,4.18
209,Petropavlovsk-Kamchatskiy,38,RU,1588217202,29,53.05,158.65,48.2,13.42
210,Lagoa,100,PT,1588217202,93,39.05,-27.98,63.37,23.85
211,Sørland,20,NO,1588217202,64,67.67,12.69,33.8,5.82
212,Alvorada,11,BR,1588217203,81,-12.48,-49.12,70.7,3.56
213,Samfya,38,ZM,1588217203,64,-11.36,29.56,64.2,6.93
214,Singleton,97,AU,1588217203,82,-32.57,151.18,59.65,14.0
215,Lavrentiya,75,RU,1588217203,94,65.58,-171.0,26.31,0.43
216,Matagami,90,CA,1588217203,65,49.75,-77.63,44.6,9.17
217,Geraldton,90,AU,1588217203,24,-28.77,114.6,71.6,27.51
218,Ambikāpur,0,IN,1588217203,24,23.12,83.2,86.41,3.89
219,Poum,0,NC,1588217203,74,-20.23,164.02,78.67,6.78
220,Rome,90,US,1588217153,54,43.21,-75.46,51.8,16.11
221,Emba,0,KZ,1588217204,54,48.83,58.14,48.72,12.84
222,Nagato,0,JP,1588217204,72,34.38,131.2,66.83,8.05
223,Semīrom,98,IR,1588217204,42,31.42,51.57,39.78,7.78
224,Yeppoon,75,AU,1588217204,51,-23.13,150.73,84.2,5.82
225,Belmonte,40,BR,1588217204,94,-15.86,-38.88,69.8,4.7
226,Hauterive,90,FR,1588217204,71,46.09,3.45,51.91,11.41
227,Saint-Augustin,67,CA,1588217058,80,51.23,-58.65,36.19,7.4
228,Half Moon Bay,90,US,1588217031,100,37.46,-122.43,56.71,11.41
229,Neuquén,100,AR,1588217205,87,-38.95,-68.06,46.4,5.61
230,Rimbey,75,CA,1588217205,41,52.63,-114.24,57.2,12.75
231,Cap Malheureux,0,MU,1588217205,73,-19.98,57.61,75.0,5.01
232,Port Hedland,17,AU,1588217205,14,-20.32,118.57,84.2,18.34
233,Taoudenni,48,ML,1588217205,13,22.68,-3.98,86.63,9.22
234,Touros,75,BR,1588217205,100,-5.2,-35.46,75.2,3.36
235,Meulaboh,100,ID,1588217205,92,4.14,96.13,76.73,10.85
236,Sawākin,0,SD,1588217205,63,19.11,37.33,74.77,9.4
237,Atasū,40,KZ,1588217205,53,48.68,71.64,52.3,15.82
238,Cape Town,0,ZA,1588216966,71,-33.93,18.42,53.8,2.24
239,Powell River,90,CA,1588217206,93,49.85,-124.54,50.99,11.41
240,Bubaque,36,GW,1588217206,79,11.28,-15.83,77.88,12.21
241,Chokurdakh,26,RU,1588217050,94,70.63,147.92,18.77,4.52
242,Hong Kong,94,HK,1588216944,57,22.29,114.16,78.01,8.01
243,Esim,74,GH,1588217206,86,4.87,-2.24,79.27,4.25
244,College,20,US,1588217206,40,64.86,-147.8,32.63,19.46
245,Talnakh,0,RU,1588217067,85,69.49,88.4,15.8,13.42
246,Alcañiz,100,ES,1588217206,61,41.05,-0.13,59.09,3.0
247,Bichura,64,RU,1588217207,25,50.59,107.6,78.28,16.69
248,Korçë,56,AL,1588217207,65,40.62,20.78,46.29,3.91
249,Berbera,99,SO,1588217207,78,10.44,45.01,85.6,0.98
250,Sorokyne,0,UA,1588217207,67,48.29,39.74,47.84,5.17
251,Wellington,1,NZ,1588217040,72,-41.29,174.78,59.18,26.4
252,Kamaishi,75,JP,1588217207,44,39.27,141.88,59.0,5.82
253,Oranjestad,20,AW,1588217207,78,12.52,-70.03,80.6,19.46
254,Livramento,86,BR,1588217208,88,-3.03,-60.18,78.8,4.7
255,Port-Gentil,100,GA,1588217208,86,-0.72,8.78,80.37,13.22
256,City of San Pedro,40,PH,1588217208,59,14.35,121.02,91.17,10.29
257,Souillac,75,MU,1588217208,78,-20.52,57.52,75.2,12.75
258,Marabba,1,SD,1588217208,15,12.35,32.18,77.97,6.78
259,Vila Velha,20,BR,1588217158,94,-20.33,-40.29,69.04,3.36
260,Menongue,1,AO,1588217208,47,-14.66,17.69,56.82,1.95
261,Ginir,98,ET,1588217208,52,7.13,40.7,59.16,4.63
262,Lensk,100,RU,1588217208,61,60.73,114.93,41.32,8.63
263,Mikuni,75,JP,1588217208,45,36.22,136.15,66.2,20.8
264,Ancud,90,CL,1588217209,100,-41.87,-73.82,53.26,8.05
265,Thunder Bay,5,CA,1588217209,78,48.4,-89.32,48.2,6.93
266,Caucayá,0,CO,1588217209,74,-0.19,-74.78,76.44,2.15
267,San Pablo City,40,PH,1588217209,59,14.07,121.33,91.72,10.29
268,Korem,0,ET,1588217209,42,12.51,39.52,56.82,0.83
269,Ishigaki,75,JP,1588217077,69,24.34,124.16,80.6,12.75
270,Cidreira,8,BR,1588217069,80,-30.18,-50.21,64.11,6.89
271,Presidencia Roque Sáenz Peña,1,AR,1588217209,59,-26.79,-60.44,62.4,5.95
272,Lahaina,1,US,1588216922,57,20.88,-156.68,75.07,19.46
273,Puerto Escondido,14,MX,1588217210,72,15.85,-97.07,81.48,8.16
274,Villaviciosa,100,ES,1588217210,76,43.48,-5.44,55.09,4.61
275,Ngerengere,75,TZ,1588217210,100,-6.75,38.12,69.8,3.69
276,Cabo San Lucas,5,MX,1588217060,26,22.89,-109.91,81.05,10.29
277,Sattahip,20,TH,1588217210,59,12.67,100.9,89.6,3.36
278,Salalah,75,OM,1588216973,89,17.02,54.09,84.2,5.82
279,Ola,98,RU,1588217210,92,59.58,151.28,31.71,0.69
280,Maniitsoq,0,GL,1588217210,82,65.42,-52.9,32.14,7.47
281,Daye,95,CN,1588217210,42,30.08,114.95,86.83,6.78
282,Chapais,90,CA,1588217210,48,49.78,-74.85,44.6,10.29
283,Thinadhoo,35,MV,1588217211,67,0.53,72.93,85.23,5.1
284,Senneterre,90,CA,1588217211,100,48.38,-77.23,39.2,8.05
285,Mahbūbnagar,83,IN,1588217211,29,16.73,77.98,89.26,5.01
286,Lüderitz,78,NA,1588217211,87,-26.65,15.16,57.2,1.12
287,Salisbury,24,GB,1588216949,100,51.07,-1.8,40.51,5.82
288,Isangel,75,VU,1588217211,70,-19.55,169.27,86.0,9.17
289,Puerto Limón,100,CR,1588217211,92,10.0,-83.03,75.99,3.38
290,Faya,75,SA,1588217064,72,18.39,42.45,63.5,6.93
291,Nemuro,20,JP,1588217211,24,43.32,145.57,71.6,11.41
292,Acajutla,0,SV,1588217198,96,13.59,-89.83,73.99,1.01
293,Östersund,86,SE,1588217212,91,63.18,14.64,32.0,11.41
294,Aksu,0,CN,1588217093,11,41.12,80.26,79.11,3.04
295,Buriti,0,BR,1588217212,93,-22.93,-45.39,59.0,2.24
296,Sur,25,OM,1588217212,44,22.57,59.53,89.94,1.74
297,Yangi Marg`ilon,90,UZ,1588217212,43,40.43,71.72,69.8,2.24
298,Shenzhen,94,CN,1588216598,71,22.55,114.07,75.87,4.0
299,Djenné,70,ML,1588217212,46,13.91,-4.55,84.24,10.94
300,Severo-Kuril'sk,5,RU,1588217213,87,50.68,156.12,34.16,8.14
301,Tayu,5,ID,1588217213,64,-6.54,111.05,86.25,8.86
302,Enterprise,75,US,1588217213,12,36.03,-115.24,91.47,9.98
303,Kloulklubed,90,PW,1588217045,79,7.04,134.26,84.2,8.05
304,Korla,64,CN,1588217213,10,41.76,86.15,82.56,14.45
305,La Democracia,75,GT,1588217213,93,14.23,-90.95,66.2,6.93
306,Olinda,75,BR,1588217213,83,-8.01,-34.86,78.8,5.82
307,Kuril'sk,50,RU,1588217213,80,45.23,147.88,40.46,10.36
308,Vallenar,100,CL,1588217213,65,-28.57,-70.76,57.24,0.51
309,Balabac,27,PH,1588217213,69,7.99,117.06,86.02,11.05
310,Kütahya,75,TR,1588217214,76,39.42,29.98,48.2,2.24
311,Maragogi,100,BR,1588217214,85,-9.01,-35.22,77.5,5.93
312,Mamakan,100,RU,1588217214,61,57.82,114.0,50.32,1.74
313,Wajima,17,JP,1588217214,30,37.4,136.9,69.8,14.99
314,Kieta,23,PG,1588217090,69,-6.22,155.63,85.89,5.95
315,Hanyang,92,CN,1588217214,38,32.14,105.51,82.99,4.59
316,Praia da Vitória,40,PT,1588217214,88,38.73,-27.07,64.4,13.71
317,Tartagal,1,AR,1588217214,75,-22.52,-63.8,58.48,2.35
318,Lumphat,0,KH,1588217215,40,13.49,106.98,93.31,8.3
319,Manicoré,51,BR,1588217215,94,-5.81,-61.3,77.0,2.24
320,Avera,90,US,1588217215,91,33.19,-82.53,66.38,10.29
321,Aigle,90,CH,1588217215,76,46.32,6.96,45.88,4.7
322,Sītāpur,0,IN,1588216972,30,27.57,80.68,89.85,7.25
323,Sibu,75,MY,1588217215,70,2.3,111.82,87.42,3.36
324,Bandarbeyla,100,SO,1588217215,80,9.49,50.81,82.54,13.44
325,Marovoay,20,MG,1588217216,78,-16.1,46.63,71.6,8.05
326,Sitka,90,US,1588217216,81,57.05,-135.33,44.6,6.93
327,Nurota,0,UZ,1588217216,68,40.56,65.69,64.4,11.41
328,Kokopo,100,PG,1588217216,76,-4.35,152.26,83.89,2.95
329,Fairbanks,1,US,1588217081,37,64.84,-147.72,32.79,12.75
330,Manta,20,EC,1588217216,78,-0.95,-80.73,77.0,2.24
331,Tasiilaq,0,GL,1588217044,69,65.61,-37.64,33.8,18.34
332,Qujing,97,CN,1588217216,36,25.48,103.78,66.33,16.04
333,Kuusamo,75,FI,1588217216,85,65.97,29.18,19.4,3.36
334,Vila do Maio,20,CV,1588217217,69,15.13,-23.22,73.4,19.46
335,Aksarka,100,RU,1588217217,95,66.56,67.8,16.16,19.37
336,Naze,20,JP,1588217217,49,28.37,129.48,72.52,6.93
337,Clyde River,1,CA,1588217217,66,70.47,-68.59,14.0,3.36
338,Kindu,36,CD,1588217217,85,-2.95,25.95,70.09,1.48
339,Adeje,20,ES,1588217217,67,28.12,-16.73,62.38,5.82
340,Revúca,75,SK,1588217217,87,48.68,20.12,47.7,13.87
341,Deputatsky,100,RU,1588217218,93,69.3,139.9,19.8,11.18
342,Lorengau,100,PG,1588217092,92,-2.02,147.27,78.49,10.67
343,Pecos,1,US,1588217218,22,31.42,-103.49,68.0,6.93
344,Novokizhinginsk,94,RU,1588217218,25,51.61,109.59,74.41,16.91
345,Golynki,100,RU,1588217218,82,54.87,31.39,34.14,6.78
346,Waipawa,23,NZ,1588217218,72,-41.41,175.52,59.79,26.4
347,Takoradze,91,GH,1588217218,87,4.88,-1.76,79.3,4.76
348,Iberia,1,US,1588217185,77,29.95,-91.75,63.84,6.93
349,Ngunguru,100,NZ,1588217218,68,-35.62,174.5,65.21,1.99
350,Berdigestyakh,0,RU,1588217218,70,62.1,126.7,35.64,10.11
351,Toora-Khem,81,RU,1588217219,40,52.47,96.11,61.32,12.93
352,Thaba-Tseka,32,LS,1588217219,42,-29.52,28.61,38.8,1.21
353,Kavieng,100,PG,1588217056,89,-2.57,150.8,77.86,4.32
354,Salinópolis,59,BR,1588217219,85,-0.61,-47.36,79.18,7.23
355,Kawalu,90,ID,1588217219,70,-7.38,108.21,81.23,3.6
356,Minot,1,US,1588217219,50,48.23,-101.3,52.63,8.05
357,Pierre,1,US,1588217219,61,44.37,-100.35,46.4,3.36
358,Chara,91,RU,1588217220,45,56.91,118.26,45.23,1.45
359,Yārāda,20,IN,1588217220,74,17.65,83.27,82.4,4.7
360,Murmansk Oblast,96,RU,1588217220,95,68.0,34.0,20.37,2.55
361,Tamworth,87,GB,1588217220,85,52.63,-1.7,44.6,3.0
362,Freeport,90,US,1588217085,71,40.66,-73.58,49.28,16.11
363,Ulaangom,100,MN,1588217220,29,49.98,92.07,68.27,9.06
364,Laguna,1,US,1588217077,60,38.42,-121.42,68.14,3.36
365,High Level,75,CA,1588217061,35,58.52,-117.14,57.2,5.82
366,Elizabethtown,90,US,1588217221,100,37.69,-85.86,52.32,6.93
367,Mackenzie,75,CA,1588217221,43,55.3,-123.17,50.0,2.24
368,La Ronge,40,CA,1588217221,37,55.1,-105.28,53.6,4.7
369,Port Hardy,90,CA,1588217221,100,50.7,-127.42,46.4,3.36
370,Qandala,2,SO,1588217221,64,11.47,49.87,88.2,7.81
371,Buffalo,90,US,1588217095,55,42.89,-78.88,62.62,20.8
372,Ginda,95,IN,1588217222,26,30.69,78.49,66.07,3.11
373,Pacasmayo,32,PE,1588217222,75,-7.4,-79.57,70.09,9.62
374,Ulladulla,75,AU,1588217222,93,-35.35,150.47,52.41,5.82
